elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
0.007,983040,4
0.062,295337984,4
0.117,420855808,4
0.173,518291456,4
0.228,600440832,4
0.283,619577344,4
0.338,651837440,4
0.390,677724160,4
0.445,739065856,4
0.500,792199168,4
0.555,833470464,4
0.610,854016000,4
0.665,875184128,4
0.720,893239296,4
0.776,918552576,4
0.835,969965568,4
0.890,1044955136,4
0.946,1096777728,4
1.001,1140850688,4
1.056,1197719552,4
1.111,1251803136,4
1.167,1311080448,4
1.222,1365737472,4
1.273,1413922816,4
1.328,1446526976,4
1.381,1473904640,4
1.437,1518567424,4
1.491,1569652736,4
1.546,1659600896,4
1.601,1957904384,4
1.655,2182660096,4
1.711,2694234112,4
1.766,3604021248,4
1.821,4120313856,4
1.876,4587995136,4
1.931,4998856704,4
1.984,5015076864,4
2.039,5080530944,4
2.090,5167792128,4
2.145,5309038592,4
2.200,5393367040,4
2.255,5435998208,4
2.311,5602492416,4
2.365,5745868800,4
2.420,5774376960,4
2.474,5810192384,4
2.527,5821186048,4
2.581,4334403584,4
2.634,4341907456,3
2.691,4346085376,4
2.746,2898870272,4
2.800,2931982336,3
2.857,2962096128,4
2.912,3070214144,4
2.966,3125264384,4
3.021,3183329280,4
3.076,3224158208,4
3.131,3265937408,4
3.183,3300638720,4
3.239,3335651328,4
3.294,3369779200,4
3.348,3398483968,4
3.403,3433201664,4
3.459,3458793472,4
3.514,3488989184,4
3.566,3514007552,4
3.622,3544104960,4
3.677,2182856704,4
3.733,2206007296,3
3.790,2241118208,4
3.845,2344878080,4
3.899,2396078080,4
3.954,2613952512,4
4.009,2870984704,4
4.065,3112943616,4
4.120,3379019776,4
4.175,3612049408,4
4.230,2396667904,4
4.285,2647801856,3
4.340,2925363200,4
4.396,3043655680,4
4.448,3130212352,4
4.503,3250552832,4
4.559,3337109504,4
4.614,3398107136,4
4.666,3448406016,4
4.722,3537305600,4
4.777,3588505600,4
4.832,3627876352,4
4.887,2142617600,4
4.943,844300288,3
5.000,1116815360,3
5.057,1469333504,4
5.113,1703313408,4
5.168,1792311296,4
5.223,1874116608,4
5.278,1970962432,4
