elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
0.006,983040,4
0.066,303267840,4
0.127,448053248,4
0.187,567705600,4
0.247,664485888,4
0.303,739115008,4
0.363,821329920,4
0.424,895762432,4
0.484,966606848,4
0.544,1009057792,4
0.603,1056735232,4
0.664,1078657024,4
0.724,1114619904,4
0.784,1175846912,4
0.836,1223262208,4
0.897,1278492672,4
0.956,1326874624,4
1.016,1377566720,4
1.070,1430306816,4
1.130,1516158976,4
1.190,1828831232,4
1.245,1958395904,4
1.305,2071199744,4
1.365,2140160000,4
1.426,2203680768,4
1.486,2267873280,4
1.541,2601795584,4
1.595,2663137280,4
1.653,3231629312,4
1.713,4134977536,4
1.767,4995301376,4
1.826,5339217920,4
1.887,5650825216,4
1.947,5776441344,4
2.007,5934661632,4
2.062,6037864448,4
2.122,6224314368,4
2.182,6304759808,4
2.242,6428655616,4
2.295,6498729984,4
2.355,6987792384,4
2.415,7438188544,4
2.469,7911636992,4
2.529,8358133760,4
2.589,8423571456,4
2.645,8454275072,4
2.705,6286966784,4
2.765,6419775488,3
2.824,6487719936,4
2.878,6582845440,4
2.939,6642597888,4
2.999,6743851008,4
3.059,6808158208,4
3.119,6843023360,4
3.180,6876004352,4
3.239,6898401280,4
3.299,6931841024,4
3.353,6961463296,4
3.413,6988054528,4
3.473,7028015104,4
3.534,4781998080,4
3.594,4801658880,3
3.656,4831723520,4
3.716,4929224704,4
3.777,4979474432,4
3.837,5076516864,4
3.897,2338619392,4
3.954,2373877760,3
4.015,2408562688,4
4.073,732495872,4
4.133,800342016,3
4.191,857014272,4
4.245,972111872,4
4.305,1051639808,4
4.366,1124892672,4
4.426,1190592512,4
4.486,1253228544,4
4.547,1312505856,4
4.603,1365835776,4
4.663,1423753216,4
4.720,1474297856,4
4.780,1525956608,4
4.838,1573306368,4
4.899,1621753856,4
4.959,1758789632,4
5.019,2301919232,4
5.080,2903490560,4
5.136,3464888320,4
5.197,3562881024,4
5.257,4002201600,4
5.311,4377722880,4
5.372,5014519808,4
5.428,5319835648,4
5.488,5374689280,4
5.545,5430034432,4
5.605,5986123776,4
5.661,6423887872,4
5.722,6924156928,4
5.778,7240400896,4
5.838,7345143808,4
5.895,7398342656,4
5.955,7503151104,4
6.016,7619149824,4
6.076,7658094592,4
6.127,7687536640,4
6.185,7763050496,4
6.245,8213708800,4
6.303,8613855232,4
6.363,9157115904,4
6.424,9499000832,4
6.484,9553100800,4
6.544,9585311744,4
6.605,9645637632,4
6.664,9780510720,4
6.725,9806299136,4
6.780,9827532800,4
6.837,9864740864,4
6.895,9914138624,4
6.951,9950642176,4
7.003,9961455616,4
7.063,9986621440,4
7.124,9997008896,4
7.184,10000400384,4
7.244,7270137856,4
7.304,7273906176,3
7.365,7278362624,4
7.426,7363002368,4
7.486,7403962368,4
7.536,7427538944,4
7.597,7440351232,4
7.656,7455145984,4
7.714,7466336256,4
7.770,7480737792,4
7.830,7488339968,4
7.889,7509622784,4
7.945,7530168320,4
8.005,7546929152,4
8.060,4849795072,4
8.121,4859871232,4
8.178,4875321344,3
8.240,4893507584,4
8.301,2673164288,4
8.361,2725625856,3
8.423,2772140032,4
8.478,2883829760,4
8.539,2958327808,4
8.599,3024863232,4
8.653,3078668288,4
8.713,3133259776,4
8.774,3182690304,4
8.828,3224338432,4
8.888,3267248128,4
8.945,3306995712,4
9.005,3346432000,4
9.065,3386015744,4
9.126,3426222080,4
9.186,3465347072,4
9.236,3497132032,4
9.297,3529293824,4
9.353,3568091136,4
9.413,3600596992,4
9.474,3629973504,4
9.534,3661709312,4
9.586,3686563840,4
9.647,3713220608,4
9.707,3738812416,4
9.761,3764731904,4
9.822,3793420288,4
9.878,3819159552,4
9.938,3844210688,4
9.999,3871244288,4
10.059,3896508416,4
10.119,3956604928,4
10.180,1615773696,4
10.240,1640415232,3
10.296,1663516672,4
10.356,1827160064,4
10.414,2365079552,4
10.475,3302490112,4
10.535,4312285184,4
10.586,4861034496,4
10.647,5376868352,4
10.705,5471830016,4
10.765,5633884160,4
10.825,5755764736,4
10.886,5933645824,4
10.945,6017007616,4
11.005,6129270784,4
11.061,6203736064,4
11.122,6306512896,4
11.178,6362628096,4
11.238,6394232832,4
11.299,6418825216,4
11.356,6444695552,4
11.416,6471139328,4
11.470,6496698368,4
11.530,6521176064,4
11.590,6555041792,4
11.651,6577635328,4
11.703,6596411392,4
11.754,6615973888,4
11.811,6633472000,4
11.872,6650003456,4
11.932,6711574528,4
11.986,3947298816,4
12.047,3962814464,3
12.102,3980427264,4
12.160,4074487808,4
12.218,4125163520,4
12.278,4169318400,4
12.338,4207443968,4
12.395,4693524480,4
12.455,5176213504,4
12.511,5713838080,4
12.570,6038290432,4
12.630,6065356800,4
12.690,6111215616,4
12.745,6198902784,4
12.805,6345146368,4
12.861,6380175360,4
12.922,6418530304,4
12.982,6490882048,4
13.042,6563414016,4
13.095,6588923904,4
13.155,6614056960,4
13.214,6640795648,4
13.270,6665437184,4
13.330,7107395584,4
13.386,7450607616,4
13.447,7812710400,4
13.507,7853867008,4
13.561,7879622656,4
13.622,7996325888,4
13.682,8060780544,4
13.736,8125218816,4
13.797,5393170432,4
13.857,5417598976,3
13.913,5430771712,4
13.970,5518917632,4
14.030,5577490432,4
14.085,5611765760,4
14.136,5638848512,4
14.197,5667471360,4
14.257,5693865984,4
14.317,5720195072,4
14.370,5739692032,4
14.430,5763710976,4
14.490,5786075136,4
14.551,5806653440,4
14.603,5824004096,4
14.663,5845565440,4
14.720,5862916096,4
14.780,5880840192,4
14.836,5896978432,4
14.897,5917032448,4
14.957,5939314688,4
15.017,5954928640,4
15.078,5975179264,4
15.136,5994528768,4
15.190,6008225792,4
15.248,6023741440,4
15.306,6040895488,4
15.366,6057263104,4
15.427,6074204160,4
15.487,6094782464,4
15.547,6111559680,4
15.598,6122160128,4
15.659,6158467072,4
15.715,4273258496,3
15.771,4286562304,4
15.832,4377952256,4
15.886,4423352320,4
15.947,4467326976,4
16.003,4502274048,4
16.063,4651958272,4
16.120,5110169600,4
16.180,5636538368,4
16.240,6183485440,4
16.295,6373195776,4
16.355,6401884160,4
16.415,6444941312,4
16.470,6549045248,4
16.530,6675841024,4
16.586,6709755904,4
16.647,6745096192,4
16.703,6808207360,4
16.763,6887473152,4
16.824,6914162688,4
16.884,6938984448,4
16.936,6953664512,4
16.997,6972407808,4
17.057,6995214336,4
17.111,7009402880,4
17.172,7025065984,4
17.228,7044104192,4
17.286,7197589504,4
17.347,7611351040,4
17.407,8042250240,4
17.461,8424161280,4
17.522,8458076160,4
17.578,8487256064,4
17.638,8558149632,4
17.699,8677244928,4
